HomeTeam,AwayTeam,FTR,HAS,HDS,HST,AAS,ADS,AST,HC,AC,HTWS,B365H,B365D,B365A,HTDS,HW,HD,HL,AW,AD,AL,WD,DD,LD,HGS,AGS,HGC,AGC,HTLS,ATWS,DAS,DDS,ATDS,ATLS,MR,HF,AF,PD,RD,CornerDiff,ShotsDiff,GoalsScoredDiff,GoalsConceedDiff,HomeTeamLP,AwayTeamLP,HomeTeamCP,AwayTeamCP,probHome,probDraw,probAway,MW,Result
Liverpool,Huddersfield,D,1.807909604519774,0.4796163069544365,3.75,0.5275779376498801,1.4689265536723162,2.5,6.0,3.75,3,1.07,15.0,41.0,0,0.7428571428571429,0.22857142857142856,0.02857142857142857,0.08571428571428572,0.17142857142857143,0.7428571428571429,0.6571428571428571,0.057142857142857134,-0.7142857142857143,8,11,28,39,0,0,1.2803316668698939,-0.9893102467178796,0,3,3.5,10,1,71,-12.0,2.25,1.25,-3,-11,4.0,16.0,1.0,20.0,0.8239697541836641,0.05773332897462792,0.010065296872700004,33,0
Brighton,Newcastle,D,0.64030131826742,1.0071942446043167,0.75,0.6235011990407674,0.8286252354048963,2.75,2.75,3.5,0,2.3,3.2,3.6,0,0.2727272727272727,0.21212121212121213,0.5151515151515151,0.2857142857142857,0.2571428571428571,0.45714285714285713,-0.012987012987012991,-0.04502164502164499,0.05800865800865801,19,13,21,22,3,1,0.016800119226652588,0.17856900919942043,0,2,-1.75,1,4,-5,3.0,-0.75,-2.0,6,-1,15.0,12.0,17.0,15.0,0.3441320317933404,0.32227895154292113,0.33277091697005934,33,0
Crystal Palace,Everton,D,0.5273069679849341,0.959232613908873,1.25,1.0551558752997603,0.8662900188323917,4.0,2.0,5.25,1,2.62,3.5,2.8,0,0.3142857142857143,0.2,0.4857142857142857,0.37142857142857144,0.22857142857142856,0.4,-0.05714285714285716,-0.028571428571428553,0.08571428571428569,24,22,21,23,1,2,-0.5278489073148261,0.0929425950764814,0,1,-1.0,4,7,-7,3.0,-3.25,-2.75,2,-2,11.0,8.0,14.0,9.0,0.3797362431698999,0.28306873491066015,0.33471785065326687,33,0
Fulham,Cardiff,D,0.7909604519774012,1.5347721822541969,3.0,0.43165467625899284,1.1299435028248588,1.5,2.75,2.5,1,2.4,3.6,3.0,0,0.14285714285714285,0.17142857142857143,0.6857142857142857,0.23529411764705882,0.14705882352941177,0.6176470588235294,-0.09243697478991597,0.02436974789915966,0.06806722689075628,19,9,33,30,2,0,0.3593057757184083,0.4048286794293381,0,3,0.5,4,1,-8,0.0,0.25,1.5,10,3,18.0,18.0,19.0,18.0,0.4321284845031999,0.26468432191960256,0.298808851625375,33,0
Southampton,Bournemouth,D,0.8662900188323917,1.2470023980815348,2.25,0.959232613908873,1.393596986817326,2.75,4.0,1.25,1,1.9,3.9,4.1,0,0.2647058823529412,0.29411764705882354,0.4411764705882353,0.34285714285714286,0.17142857142857143,0.4857142857142857,-0.07815126050420168,0.12268907563025211,-0.04453781512605043,29,20,24,37,1,1,-0.0929425950764814,-0.14659458873579112,0,2,0.0,7,4,-5,7.0,2.75,-0.5,9,-13,17.0,10.0,16.0,12.0,0.4222440371660128,0.23830673677137365,0.3291260393126796,33,0
Tottenham,West Ham,D,1.167608286252354,0.6235011990407674,4.25,0.7194244604316548,1.0169491525423728,1.75,3.75,4.75,2,1.4,5.5,7.5,0,0.6470588235294118,0.058823529411764705,0.29411764705882354,0.34285714285714286,0.2,0.45714285714285713,0.30420168067226894,-0.1411764705882353,-0.1630252100840336,27,15,25,27,1,0,0.44818382582069927,-0.39344795350160544,0,3,2.5,7,1,25,-10.0,-1.0,2.5,12,-2,3.0,13.0,3.0,11.0,0.667959472144285,0.18348640038626862,0.1227180022207612,34,0
Watford,Wolves,D,0.8662900188323917,1.0071942446043167,4.5,0.8153477218225421,0.8286252354048963,1.25,4.25,4.25,1,2.62,3.3,2.9,0,0.38235294117647056,0.23529411764705882,0.38235294117647056,0.38235294117647056,0.2647058823529412,0.35294117647058826,0.0,-0.02941176470588236,0.029411764705882304,24,17,20,22,1,1,0.050942297009849535,0.17856900919942043,0,1,1.0,4,4,-1,-4.0,0.0,3.25,7,-2,14.0,18.0,10.0,8.0,0.44243215319787854,0.26630247274577723,0.28708795915184854,34,0
Burnley,Man City,D,0.8662900188323917,1.3429256594724222,2.75,1.486810551558753,0.3766478342749529,6.0,3.75,6.75,3,23.0,9.0,1.14,0,0.3142857142857143,0.2,0.4857142857142857,0.7941176470588235,0.08823529411764706,0.11764705882352941,-0.4798319327731092,0.11176470588235295,0.3680672268907563,55,31,12,10,0,3,-0.6205205327263614,0.9662778251974693,0,0,0.0,10,10,-44,6.0,-3.0,-3.25,24,2,7.0,1.0,13.0,2.0,0.06707878657014375,0.129675948913735,0.7448784412636629,34,0
Leicester,Arsenal,D,0.7909604519774012,0.959232613908873,4.5,1.2949640287769786,1.0546139359698683,3.0,3.25,4.0,2,2.75,3.6,2.6,0,0.4,0.17142857142857143,0.42857142857142855,0.5882352941176471,0.20588235294117646,0.20588235294117646,-0.18823529411764706,-0.03445378151260503,0.2226890756302521,39,27,12,28,1,1,-0.5040035767995774,-0.09538132206099526,0,1,0.5,7,7,-19,3.0,-0.75,1.5,12,-16,9.0,6.0,7.0,4.0,0.28695659733001755,0.24286649997413914,0.4615472955543584,34,0
Man United,Chelsea,D,1.2052730696798493,0.959232613908873,3.25,1.1031175059952039,0.9792843691148776,3.5,2.75,4.0,1,2.7,3.5,2.7,0,0.5588235294117647,0.23529411764705882,0.20588235294117646,0.5714285714285714,0.2,0.22857142857142856,-0.012605042016806678,0.03529411764705881,-0.022689075630252103,34,23,10,26,1,2,0.1021555636846454,-0.02005175520600455,0,1,-0.5,7,7,-2,-3.0,-1.25,-0.25,11,-16,2.0,5.0,6.0,5.0,0.41613308842941815,0.24520166557269132,0.33047543265373275,34,0
